fecha,turbina_vapor,turbina_gas,geotermica,solar,eolica,plantas_hidraulicas,motores_reciprocantes,importaciones_sin,exportaciones_sin,demanda_maxima_sni,subtotal_generacion_sni
08/05/2021,11899.7925,42.53,728.2225,537.5,1146.725,16365.76,22.950000000000003,2990.75,-2727.8325,1609.34,30743.48
07/05/2021,11551.985,0.0,756.0425,382.23,653.1125000000001,18424.06,21.6,3553.0,-2744.2375,1678.985,31789.030000000002
06/05/2021,15039.025,3.75,722.78,350.11,197.0225,15812.89,108.55,3668.25,-2884.51,1631.78,32234.1275
09/05/2021,12928.475,60.099999999999994,740.4275,564.985,281.27,13224.7425,69.7,2634.79,-2054.6175,1531.585,27869.7
10/05/2021,14864.565,60.0,741.705,483.555,103.3475,14266.602499999999,73.73,3842.13,-2495.755,1689.965,30593.505
13/05/2021,16114.905,57.53,712.9675,427.95000000000005,1508.285,12374.7575,898.37,5073.25,-3114.5075,1748.1350000000002,32094.765
12/05/2021,16767.465,60.0,721.065,553.715,230.7625,12246.465,2531.7325,4369.75,-3072.36,1768.3374999999999,33111.205
11/05/2021,16888.3525,58.125,724.4475,592.9200000000001,669.3325,12796.7025,1569.22,3753.0,-3186.2125,1794.76,33299.1
16/05/2021,12648.397500000001,53.75,737.985,490.32,418.74,12694.515,65.92999999999999,3646.7,-1955.0425,1548.13,27109.6375
14/05/2021,15301.77,52.5,716.7525,631.075,2273.0425,12035.3475,461.585,4634.25,-2749.1325,1739.1699999999998,31472.072500000002
15/05/2021,14722.105,60.03,699.9875,619.915,1662.515,12272.8275,66.19,4285.75,-2628.22,1638.7875,30103.57
18/05/2021,16388.035,88.35,737.5625,308.82,114.0625,12452.3125,1738.9175,5191.25,-3502.3875,1736.7250000000001,31828.06
20/05/2021,17818.255,41.25,737.79,462.6,75.9775,12689.522500000001,729.005,4432.0,-2948.01,1717.45,32554.4
17/05/2021,16550.670000000002,60.0,731.0675,357.54999999999995,132.4775,13237.8,797.875,4660.25,-3100.7075,1779.8,31867.440000000002
23/05/2021,13833.630000000001,60.0,715.6075,613.99,853.515,11407.935,39.82,3364.43,-2203.7525,1562.7175,27524.4975
19/05/2021,16506.565,50.0,736.95,640.195,87.6625,14458.1275,279.21999999999997,4983.25,-3553.315,1795.3075,32758.719999999998
21/05/2021,16720.69,46.894999999999996,726.77,593.56,595.585,13823.022500000001,139.6775,4727.25,-3412.3225,1751.6275,32646.2
24/05/2021,15221.11,60.0,730.925,490.29499999999996,735.0675,13213.102499999999,1298.905,4567.5,-3398.45,1730.4399999999998,31749.405
22/05/2021,15028.3725,57.5,721.235,557.635,1057.58,14126.4,58.550000000000004,3249.0,-3338.53,1638.8200000000002,31607.2725
26/05/2021,14025.375,60.0,680.5075,524.49,1384.875,16764.93,22.45,3917.25,-3405.5775,1776.13,33462.6275
25/05/2021,12727.6475,60.0,688.27,574.41,753.2,16865.23,1051.8525,4459.75,-3467.2825,1749.7749999999999,32720.609999999997
29/05/2021,16389.995,20.0,703.965,607.03,70.0275,12993.145,783.7524999999999,2608.75,-3310.7725,1582.185,31567.915
27/05/2021,15576.59,60.0,636.27,623.4449999999999,1017.53,15792.23,475.19,3599.5,-3450.4125,1771.92,34181.255
30/05/2021,11818.8325,37.5,691.345,572.205,268.6025,12518.2475,81.97,3678.5,-2320.085,1471.035,25988.7025
28/05/2021,15448.7,60.0,663.6,597.0749999999999,303.7975,15117.977499999999,1477.8225,3746.43,-3692.0725,1707.885,33668.972499999996
31/05/2021,12703.965,60.0,701.65,562.695,900.3225,15372.91,229.31,4542.75,-3374.4325,1690.2975,30530.8525
02/06/2021,15849.6225,57.5,693.49,597.285,703.5275,12837.525,2018.04,5278.5,-3981.445,1766.4725,32756.989999999998
01/06/2021,14908.515,52.5,706.16,628.49,1108.0375000000001,11994.2775,2594.05,5051.0,-3449.7325,1769.425,31992.03
03/06/2021,16196.3025,53.125,668.3475,392.9275,417.7125,14689.455,781.885,5164.5,-4055.2,1778.6675,33199.755
05/06/2021,14417.36,60.0,667.12,514.66,45.68,15082.115,23.175,4687.0,-3698.2225,1646.8,30810.11
04/06/2021,16482.675,57.5,677.9375,477.2,63.4775,14882.965,839.3925,4845.5,-3988.9275,1712.8600000000001,33481.1475
06/06/2021,15283.85,60.0,682.045,611.87,34.055,10254.5375,358.8025,5181.165,-3030.31,1582.995,27285.16
12/06/2021,14392.1,57.5,712.53,482.03499999999997,49.625,13430.32,484.83,5489.8975,-4020.5975,1574.335,29608.94
11/06/2021,13707.3675,57.5,675.575,571.205,76.255,14768.31,879.1025,5491.6,-2839.4775,1721.9625,30735.315
09/06/2021,14848.9225,62.5,695.75,403.145,171.1625,14199.5475,1590.83,5157.25,-3564.195,1722.3999999999999,31971.857500000002
08/06/2021,15604.29,57.54,688.885,601.4399999999999,146.395,11921.435,3834.92,5049.75,-4062.1800000000003,1762.8325,32854.905
13/06/2021,8775.395,60.0,729.2475,440.085,43.5775,17279.6475,783.965,3623.0,-3336.5275,1509.05,28111.9175
10/06/2021,14998.7025,56.25,693.8775,445.89500000000004,68.6325,13584.6875,815.1525,5600.0,-2757.41,1719.3400000000001,30663.1975
14/06/2021,11211.2975,50.0,727.805,247.36,116.7925,17605.77,1214.43,4525.545,-3115.465,1669.92,31173.455
16/06/2021,13068.932499999999,52.5,728.34,418.4425,66.52,17929.53,687.79,4276.75,-3857.55,1736.3175,32952.055
